day;amountOfAnimals;amountOfPlants;amountOfFreePlaces;mostPopularGenome;avgAnimalEnergy;avgLifeTime
1;86;51;287;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];54;0
2;90;59;275;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];51;1
3;92;65;264;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];50;1
4;93;71;267;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];50;2
5;96;76;254;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];49;2
6;98;82;249;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];48;2
7;99;87;245;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];48;2
8;100;91;249;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];48;3
9;100;93;238;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];49;3
10;100;99;239;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];50;3
11;100;101;233;[3, 5, 0, 3, 6, 2, 5, 7, 3, 1, 5, 6];51;3
